,Vorname,Scope1,Scope2,Scope3,Scope1und2,Scope2und3,Scope1bis3,AbsSeiten,Jahr,Gewichtseinheit,NamePDF
50,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,ANET - Annual Report for period end 31Dec2020 English PDF - 21-Jul-21.pdf
51,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,Annual Report 2018.pdf
52,Rainer,[506248.0],"[16.0, 533031.0]",[151280.0],[],[],[],"[[36], [36], [36], [], [], []]",2018,tons,annual-report-2018.pdf
53,Rainer,[],[50.0],"[50.0, 61.31, 71.02]",[],[],[],"[[], [105], [105], [], [], []]",2018,tons,Annual_Report_2018.pdf
54,Rainer,[53.0],[],[],[],[],[],"[[79], [], [], [], [], []]",2018,tons,Annual_unlocked.pdf
55,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,Anual_report_PR_18.pdf
56,Rainer,"[9824.0, 1600.0, 553609.0]",[9185.0],[2754.0],[9824.0],[],[],"[[88, 89, 86], [86], [86], [86], [], []]",2018,tons,ar18e.pdf
57,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,ARE - Annual Report for period end 31Dec2020 English PDF - 16-Apr-21.pdf
58,Rainer,"[900.0, 41.32]","[32.64, 96.27, 130.71]","[32.64, 11184.0, 22.93]",[900.0],[],[],"[[123, 122, 59], [123], [123], [59], [], []]",2021,tons,ASHM - Annual Report for period end 30Jun2021 English PDF - 10-Sep-21.pdf
59,Rainer,"[32.9, 17.5, 19.0]","[100.0, 27.6, 15.4]",[],[],[],[],"[[175], [175, 47], [], [], [], []]",2018,tons,ASML - ASML Holding NV (ASML-NL) - Annual Report for period end 31-Dec-2018 (English) - PDF - 06-Feb-19 - Annual.pdf
60,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,AVB - Annual Report for period end 31Dec2020 English PDF - 12-Apr-21.pdf
61,Rainer,"[40.0, 100000.0, 16198.0]",[25012.0],[17739.0],[],[],[],"[[40, 38], [38], [38], [], [], []]",2018,Tonnes,aviva-plc-annual-report-and-accounts-2018.pdf
